subnet,bytes
141.243,1754204
140.112,18108
131.215,32988
131.170,12588
202.32,159922
161.122,3008684
137.132,2235
149.159,67951
157.22,7513
138.25,45491
204.188,162038
204.62,269983
203.1,73853
140.120,11516
131.203,4889
198.69,34462
202.96,10296
168.95,156621
141.192,43782
149.250,4254
131.181,35339
203.251,3785626
132.74,69622
140.115,4889
192.146,147980
141.244,4889
137.44,9606
130.95,9566
136.210,3710
202.46,20658
130.158,40575
193.145,88485
152.165,7758
168.154,11747
192.228,7758
203.249,88045
147.46,120406
129.132,97879
194.20,211300
202.244,13205
164.155,271513
157.190,141854
192.239,51604
193.78,6085
206.26,114429
205.197,4889
134.67,378120
131.92,361577
144.207,134184
167.193,197821
129.190,62896
152.123,40130
163.234,1380745
134.243,116342
128.159,1087358
152.160,17331
149.168,738384
130.101,86425
204.97,125579
192.48,310715
131.167,1295990
155.84,3895462
128.227,456719
170.142,207919
132.170,114859
140.96,24866
131.110,37512
192.58,130459
142.106,11516
128.23,11747
198.185,11747
192.217,89842
146.167,11747
198.216,23877
204.27,8486
150.148,58862
146.229,2624
141.161,444230
199.199,841
198.102,3260369
155.75,61714
159.105,33203
199.73,86925
156.98,2045105
192.246,122909
155.206,25125
147.160,489386
204.157,106961
129.187,19910
199.213,35156
134.164,11747
204.242,325549
205.133,101570
146.83,1802
139.121,5207787
143.166,232810
170.55,4889
199.111,16635
142.142,53501
204.73,38895
199.190,33835
194.151,19396
159.142,3517
193.63,3421
38.12,202827
131.44,4889
165.113,26475
156.80,99732
134.7,32505
156.63,1115597
158.111,146885
129.53,1140
146.64,55178
155.76,8718
146.138,3865991
164.159,350670
205.168,2258
149.252,334712
150.200,147822
140.183,35176
198.59,54867
198.108,5250
136.205,69614
168.29,18900
130.206,29733
157.182,23999
138.26,11747
155.78,11747
147.154,22125
131.52,373394
162.43,97403
192.107,11747
204.255,164457
149.123,15820
193.144,9502
149.8,2336
204.177,104910
163.191,200364
192.72,7513
131.182,20474
199.11,70709
198.109,437113
149.79,32173
134.186,424290
193.56,10301
204.171,100725
129.93,54560
128.144,521757
200.246,447618
192.154,11747
155.77,31990
129.15,120788
141.173,230122
199.77,365696
205.138,11747
165.152,29753
198.88,220449
129.135,11747
155.33,42755
129.193,8903
146.137,17330
200.10,19645
150.192,5226
158.72,15020
164.156,14450
146.184,199615
148.224,517280
204.7,1463223
137.241,8618
161.129,3050
159.238,130147
165.1,74884
158.185,50414
165.151,292935
131.144,5327
205.208,118278
198.5,14507
192.137,179178
192.55,14507
137.187,5327
204.130,758336
199.126,190561
131.178,236194
134.53,54137
128.104,4889
148.129,8802
134.156,61456
157.145,45500
131.250,67624
198.165,232157
131.126,175957
134.136,14416
130.127,12630
167.21,32036
148.149,164158
129.237,1287102
155.82,121928
164.158,35178
192.231,71394
160.80,340602
205.216,4888
137.227,89877
131.230,3073
128.150,35238
141.211,14484
139.94,39857
130.38,17607
150.216,267433
198.111,4888
163.178,9185
169.14,61262
152.120,33505
161.119,26710
155.79,68101
162.108,6874
144.39,34095
134.20,247607
199.170,24509
204.248,204373
134.126,11590
129.228,35792
137.159,14449
165.13,9384
198.105,47538
160.136,59406
128.252,324918
138.13,91352
129.57,14256
138.87,326105
164.167,137252
128.165,92006
192.249,102607
198.76,11746
128.120,553014
129.252,153937
129.162,66695
204.252,16762
142.28,398729
129.81,98546
128.163,482503
146.142,81406
164.64,235151
198.85,169843
198.215,32272
132.248,106260
204.185,138635
204.194,61745
162.15,16040
162.80,100576
156.41,798931
153.64,57523
129.238,11746
204.249,5248
129.219,16530
198.104,172988
144.92,58688
156.42,27049
128.255,32988
198.234,33221
131.120,2624
143.202,11746
130.241,30666
137.161,39435
142.140,54461
199.222,47666
144.51,14370
161.156,11746
194.90,4888
141.233,103106
131.90,8712
128.220,11746
134.116,4449
138.145,24576
204.4,30842
152.35,14709
128.180,5388
132.175,19488
198.83,7030
194.158,11746
137.35,78093
142.227,15204
198.137,290483
139.104,85385
158.229,157168
199.4,5250
198.86,14392
130.207,23026
153.90,38313
156.99,11746
142.2,34314
204.238,8361
129.243,104910
198.106,788749
146.114,313761
192.88,166495
143.139,15019
192.195,38602
128.253,269542
128.158,73249
128.97,93203
204.240,25938
140.90,73392
192.43,11746
137.113,35969
199.249,3852
142.139,26138
128.192,2624
149.25,93917
204.32,4888
163.206,53638
142.36,10925
159.230,3508
165.235,11746
128.196,24398
161.225,2624
147.97,17563
204.5,24376
198.80,24063
128.148,3947
204.91,306466
157.142,30969
131.247,11808
146.129,19490
128.138,387651
157.92,75908
199.223,1724
192.234,59544
204.233,45905
132.236,13925
198.77,92897
204.178,237817
155.95,4914
142.94,11808
158.145,17550
199.217,94474
129.130,454963
199.89,19593
165.234,23944
165.110,80583
204.250,109220
146.63,5532
137.243,52225
130.19,957522
192.147,15209
198.110,35749
130.99,3842
205.217,4950
160.69,393035
142.25,84897
204.254,52225
139.102,86042
198.31,78256
156.3,70215
205.241,2624
203.2,10788
149.136,11577
194.166,18280
192.102,9279
192.74,15081
206.27,116718
199.8,221831
137.229,16131
202.39,378246
163.13,11577
165.213,23813
204.120,32988
133.62,44317
141.209,1824
129.108,12649
199.1,60892
192.122,68165
155.187,7574
131.95,46091
128.206,4233
206.43,154615
137.219,1162480
155.81,11808
205.218,88716
139.230,95929
130.54,13603
204.165,41943
204.176,26174
129.96,4996
143.188,42748
